sku,name_create,content,num_star,date_time,tags
apple-airpods-4,Đình Tiến,mồi mấy ngày từ 2tr9 đã tăng lên 3.5 tr rồi,5,Đánh giá đã đăng vào 3 tuần trước,Thời lượng pin Cực khỏe|Cảm giác đeo Rất thoải mái|Chất âm Rất hay
apple-airpods-4,NGUYỄN PHÚC KHANG,Hợp với túi tiền,5,Đánh giá đã đăng vào 1 tháng trước,Thời lượng pin Cực khỏe|Cảm giác đeo Rất thoải mái|Chất âm Rất hay
apple-airpods-4,Võ Ngọc Minh Châu,thái độ phục vụ tốt,5,Đánh giá đã đăng vào 1 tháng trước,Thời lượng pin Cực khỏe|Cảm giác đeo Rất thoải mái|Chất âm Rất hay
apple-airpods-4,Phạm Đức Đạt,nhưng âm hơi yếu,5,Đánh giá đã đăng vào 2 tháng trước,Thời lượng pin Cực khỏe|Cảm giác đeo Rất thoải mái|Chất âm Ổn định
apple-airpods-4,Lý Tiến,Ok xài tốt nha.,5,Đánh giá đã đăng vào 2 tháng trước,Thời lượng pin Cực khỏe|Cảm giác đeo Rất thoải mái|Chất âm Rất hay
apple-airpods-4,Minh Quang,"Hàng tốt, mỗi tội giá hơi chát tí:))",5,Đánh giá đã đăng vào 2 tháng trước,Thời lượng pin Khá tốt|Cảm giác đeo Thoải mái|Chất âm Rất hay
apple-airpods-4,Hoàng Kim,khuyến mãi nhiều. rẽ hơn cả sàn online,5,Đánh giá đã đăng vào 2 tháng trước,Thời lượng pin Cực khỏe|Cảm giác đeo Rất thoải mái|Chất âm Rất hay
apple-airpods-4,Hoàng Kim,giao nhanh. nhân viên tư vấn nhiệt tình còn free ship,5,Đánh giá đã đăng vào 2 tháng trước,Thời lượng pin Cực khỏe|Cảm giác đeo Rất thoải mái|Chất âm Rất hay
apple-airpods-4,Anh Bảo,đã mua hàng sp tốt,5,Đánh giá đã đăng vào 2 tháng trước,Thời lượng pin Cực khỏe|Cảm giác đeo Rất thoải mái|Chất âm Rất hay
apple-airpods-4,Hoàng Lan,Có thu lai airpod 2 bị chai pin 1 bên tai nghe ko ah?,5,Đánh giá đã đăng vào 3 tháng trước,Thời lượng pin Cực khỏe|Cảm giác đeo Rất thoải mái|Chất âm Rất hay
apple-airpods-4,Nguyễn Ngọc Thanh Hà,"Nghe sướng cực, như ở trong thính phòng. Anh chị nhân viên ở chi nhánh Hoàng Văn Thụ, Tân Bình cực kỳ dễ thương, nhất là anh quản lý.",5,Đánh giá đã đăng vào 6 tháng trước,Thời lượng pin Cực khỏe|Cảm giác đeo Rất thoải mái|Chất âm Rất hay
apple-airpods-4,Nguyễn Trường Minh Thuận,"Thiết kế mới, cảm giác đeo nhẹ nhàng. Mình chuyển từ ap3 sang thì 1 bên đeo khá lỏng lẻo.",5,Đánh giá đã đăng vào 7 tháng trước,Thời lượng pin Cực khỏe|Cảm giác đeo Thoải mái|Chất âm Rất hay
apple-airpods-4,Nguyễn Tấn Tài,airpods 4 vừa mua ở TGDD hơn 1 tháng shop thu lại được nhiêu nhỉ,5,Đánh giá đã đăng vào 10 tháng trước,
