sku,name_create,content,num_star,date_time,tags
dien-thoai-nubia-neo-5-gt,Nguyen Dam,Giờ shop bán thêm con Redmagic thì ngon luôn combo đủ bộ,5,Đánh giá đã đăng vào 2 tuần trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-nubia-neo-5-gt,Un Chan,Good máy mượt lắm,5,Đánh giá đã đăng vào 1 tháng trước,
dien-thoai-zte-nubia-z60s-pro-16gb-512gb,Trung Phan,Sản phẩm hiện có tại TP Mỹ Tho k ạ,5,Đánh giá đã đăng vào 3 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-zte-nubia-z60s-pro-16gb-512gb,Huỳnh Qthắng,,5,Đánh giá đã đăng vào 10 tháng trước,
dien-thoai-nubia-v80-max,Huynh toan,Shop có thu máy cũ vivo y72 lại không,5,Đánh giá đã đăng vào 1 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-nubia-v80-max,Chị Trinh,"nhân viên thân thiện, take care tốt",5,Đánh giá đã đăng vào 2 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-nubia-v80-max,Nguyễn Hoàng Khôi,Tôi cảm thấy tốt về dịch vụ và rất hài lòng,5,Đánh giá đã đăng vào 2 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-nubia-v80-max,Quang Minh Mai,Xin chúc mừng vì công nghệ cao... giá bình dân phục vụ.,5,Đánh giá đã đăng vào 2 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-nubia-z70s-ultra-5g,Nguyễn Hải Sơn,tôi mới mua 1 tháng máy bị hở mặt lưng chả về hãng gia cố lại cũng vậy,5,Đánh giá đã đăng vào 1 tháng trước,
dien-thoai-nubia-z70s-ultra-5g,Đỗ Ngọc Hà,Không có góp ý.,5,Đánh giá đã đăng vào 11 tháng trước,
dien-thoai-nubia-z70s-ultra-5g,Đỗ Ngọc Hà,Không có góp ý.,5,Đánh giá đã đăng vào 11 tháng trước,
dien-thoai-nubia-neo-3-gt-12gb-256gb,Pha Tamk,E mới mua đt gần 1 tháng e bán lại nhưng mất hộp thì shop có thu lại ko ạ,5,Đánh giá đã đăng vào 1 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-nubia-neo-3-gt-12gb-256gb,Trần hoàng kiên,giao máy về số 2 ngõ 74 nguyễn phúc lai mất bao lâu vậy shopp,5,Đánh giá đã đăng vào 1 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-nubia-neo-3-gt-12gb-256gb,Nguyễn Văn An,"Dùng rất mượt, tốt.",5,Đánh giá đã đăng vào 1 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-nubia-neo-3-gt-12gb-256gb,Nguyen Hoang,Cho em hỏi sao lên giá vậy ạ,4,Đánh giá đã đăng vào 1 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-nubia-neo-3-gt-12gb-256gb,Pha Tamk,Cửa hàng ở Long Khánh đồng Nai có sản phẩm ko ạ,5,Đánh giá đã đăng vào 2 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-nubia-neo-3-gt-12gb-256gb,Vũ,nhân viên tận tình,5,Đánh giá đã đăng vào 2 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
