sku,name_create,content,num_star,date_time,tags
dien-thoai-tecno-camon-40,MA ANH TUẤN,dùng ok máy mát pin trâu,5,Đánh giá đã đăng vào 1 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-40,Lê Duy Long,đth sài rất ngon,5,Đánh giá đã đăng vào 11 tháng trước,
dien-thoai-tecno-camon-40,Ngô Sanh,Tốt,5,Đánh giá đã đăng vào 1 năm trước,
dien-thoai-tecno-spark-40-pro-plus,NGUYỄN HOÀNG KIM NGÂN,1 hệ thống mỗi cửa hàng 1 máy cắt decal dán màn hình chà bá. Thế mà lục ục mãi xong báo là bên hệ thống cell k làm được cái decal dán màn hình cho cái dt mình bán. Thiệt tệ,5,Đánh giá đã đăng vào 4 tháng trước,Hiệu năng Giật lag|Thời lượng pin Rất yếu|Chất lượng camera Chụp không đẹp
dien-thoai-tecno-spark-40-pro-plus,Nguyễn Quỳnh Thơ,Mua lúc black friday áp tất cả mã còn 4.4tr. Thực sự không tiếc 1 xu nào bỏ ra 3,5,Đánh giá đã đăng vào 6 tháng trước,
dien-thoai-tecno-spark-40-pro-plus,Lâm Kha,Loa đôi nhưng ở chế độ không khuếch đại âm thanh thì nhỏ quá... Khuếch đại âm thanh đã bật thì cũng chả lớn hơn là bao nhiêu.. nói chung tùy cảm nhận mỗi người,5,Đánh giá đã đăng vào 6 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-spark-40-pro-plus,TRƯƠNG HUỲNH TẤN LỘC,Theo mình thấy mọi thứ ở con tecno spark 40 pro+ này khá ổn sau vài ngày sử dụng nếu sữ dụng chơi game tầm trung làm việc này kia thì vẫn ok,5,Đánh giá đã đăng vào 6 tháng trước,Hiệu năng Mạnh mẽ|Thời lượng pin Khủng|Chất lượng camera Chụp đẹp
dien-thoai-tecno-camon-40-pro,Phạm Lê Dũng,máy này góp 6 tháng là bnh 1 tháng ạ,5,Đánh giá đã đăng vào 4 tháng trước,
dien-thoai-tecno-camon-40-pro,Đỗ Tú Phương,Mua đâu mà đánh giá,5,Đánh giá đã đăng vào 5 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-40-pro,PHẠM HUY PHÚ,"NFC không quét được. Xuất hiện cho có. Hiệu năng bình thường. Drop nhiều trong game nhẹ như LQ. Phần mềm tiktok có lúc xung đột bị văng đơ. Các phần mềm khác vẫn ổn ổn. Pin khá trâu so với cảm nhận, màn được, sạc nhanh, cam ổn... Cũng nhiều điểm cộng. Nhưng cái NFC làm tôi phát bực chỉ vì chọn máy này nhưng nó không họat động NFC như mong đợi.",4,Đánh giá đã đăng vào 6 tháng trước,Hiệu năng Ổn định|Thời lượng pin Khủng|Chất lượng camera Chụp đẹp
dien-thoai-tecno-camon-40-pro,Quân,Còn hàng ở từ sơn k ạ,5,Đánh giá đã đăng vào 10 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-40-pro,Hồ Hoàng Huy,"Cam chụp ổn so với phân khúc, Màng hình đẹp, Chip thì hơi yếu , Pin ổn nói chung tầm giá 5tr thì đánh giá đáng mua",5,Đánh giá đã đăng vào 10 tháng trước,Hiệu năng Ổn định|Thời lượng pin Khủng|Chất lượng camera Chụp đẹp
dien-thoai-tecno-camon-40-pro,Tấn Phát,Có thu cũ máy lại ko shop,5,Đánh giá đã đăng vào 11 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-40-pro,LAM TRONG NHAN,"Rat dep va ok, minh rat thika",5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-40-pro,Do Kimgiang,xài ok cấu hình mạnh,5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-40-pro,Buu Chau Tran,Chia sẻ wife không được,5,Đánh giá đã đăng vào 1 năm trước,Hiệu năng Ổn định|Thời lượng pin Khủng|Chất lượng camera Chụp đẹp
dien-thoai-tecno-pova-7-256gb,Nguyễn Thanh Sang,mua ở shop vẫn giá này hay sao ạ,5,Đánh giá đã đăng vào 4 tháng trước,
dien-thoai-tecno-pova-7-256gb,Huy huy,dùng được 1 tháng thường bị lỗi sóng wifi chip G100 khá nóng nếu muốn chơi game thì mua Nubia là đc,4,Đánh giá đã đăng vào 7 tháng trước,
dien-thoai-tecno-pova-7-256gb,Trần Bùi Hoài Phương,Mình có mua đien thoại hôm 9/8 nay đien thoại bị rớt vỡ màn hình có được bảo hành không ạ,5,Đánh giá đã đăng vào 8 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-pova-7-256gb,NgoChikhang,"khi mua đt cs bảo hành ,hỗ trợ j ko   ko shop",5,Đánh giá đã đăng vào 9 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-pova-7-256gb,Trần Gia Lạc,,5,Đánh giá đã đăng vào 9 tháng trước,
dien-thoai-tecno-pova-7-256gb,Nguyễn Quang Huy,"Cho e hỏi thu cũ đổi mới với trợ gía là sao ạ. Không hiểu lắm, giá để là 4tr590 nhưng nhấp vào thu cũ đổi mới thì giá lên tới 5tr290 r trợ giá 500k là sao ạ.",5,Đánh giá đã đăng vào 10 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-pova-7-256gb,LT Ngan,Đang dùng được 1 tuần. Đánh giá:,4,Đánh giá đã đăng vào 10 tháng trước,Hiệu năng Ổn định|Thời lượng pin Cực khủng|Chất lượng camera Tạm ổn
dien-thoai-tecno-spark-30-pro-8gb-256gb,Anh Nhã,Quảng Ngãi khi nào có hàng màu đen ạ,5,Đánh giá đã đăng vào 3 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-spark-30-pro-8gb-256gb,Channel Huyhaquang,"Nhìn máy cung ok, giá hời, muốn mua quá",5,Đánh giá đã đăng vào 7 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-spark-30-pro-8gb-256gb,Em Đường Minh Hào,Sản phẩm rất tốt,5,Đánh giá đã đăng vào 9 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-spark-30-pro-8gb-256gb,Nguyễn Đức Hoàn,Vân tay k nhạy còn lại ổn,5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-spark-30-pro-8gb-256gb,Châu Vĩnh Thành,Sản phẩm rất tốt,5,Đánh giá đã đăng vào 1 năm trước,
dien-thoai-tecno-spark-30-pro-8gb-256gb,Phong Hải,mình đặt trước tới 10 tháng 5 còn ko ạ,5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-spark-30-pro-8gb-256gb,Đỗ Nguyễn Vinh Quang,máy chạy nhiều ứng dụng ngầm nên tụt pin khá nhanh,5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-spark-30-pro-8gb-256gb,Phạm Thanh Tuấn,"Máy chạy mượt, thử chơi pubg vs liên quân thấy ổn, pin xài trâu lắm, nhân viên nhiệt tình",5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-spark-30-pro-8gb-256gb,Manh Hung,Có bán ốp lưng tecno spark 30 pro ko ạ,5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-spark-30-pro-8gb-256gb,Đức Minh,Tôi không ý kiến,5,Đánh giá đã đăng vào 1 năm trước,
dien-thoai-tecno-spark-30-pro-8gb-256gb,đinh hoàng tùng,Máy xài ổn tầm giá này hợp lý,4,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-spark-30-pro-8gb-256gb,Đời Lãng Tử,Cũng được,4,Đánh giá đã đăng vào 1 năm trước,
dien-thoai-tecno-spark-30-pro-8gb-256gb,Đời Lãng Tử,Cũng được,4,Đánh giá đã đăng vào 1 năm trước,
dien-thoai-tecno-spark-30-pro-8gb-256gb,Phan Quân,Mới mua nhưng thấy pin tụt nhanh,5,Đánh giá đã đăng vào 1 năm trước,Hiệu năng Mạnh mẽ|Thời lượng pin Đủ dùng|Chất lượng camera Chụp đẹp
dien-thoai-tecno-spark-30-pro-8gb-256gb,Cầm Nguyễn,Tất cả đều tốt nhưng pin xài 7 tiếng  hơn mới hết nếu không bật chế độ tiết kiệm pin,4,Đánh giá đã đăng vào 1 năm trước,Hiệu năng Mạnh mẽ|Thời lượng pin Đủ dùng|Chất lượng camera Chụp đẹp
dien-thoai-tecno-spark-30-pro-8gb-256gb,Phạm Tiến Dũng,Dùng cũng ok nhưng thông báo hơi chậm,5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
tecno-camon-30,Nguyễn Thịnh,điện thoại tốt,5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
tecno-camon-30,nguyễn đông đức,"được, giá ổn thôi, người dùng cơ bản nghe gọi giải trí ......",4,Đánh giá đã đăng vào 1 năm trước,Hiệu năng Mạnh mẽ|Thời lượng pin Khủng|Chất lượng camera Chụp đẹp
tecno-camon-30,Nguyễn Văn Lực,"mình cần kính màn hình ở cửa hàng đồng xoài bình phước , đợt trước mình có đến nhưng shop bảo là phải đặt trước",4,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
tecno-camon-30,Trần Bảo,,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Trần Bảo,,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Trần Bảo,,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,ngô hoàng đầy,Tốt,4,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,ngô hoàng đầy,Tốt,4,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Mạch Khương Nam,sản phẩm xài rất tốt trong tầm giá,5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
tecno-camon-30,Toản Lê Đức,"Ốp lưng hơi trơn, lâu lâu có bị trễ thông báo",5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Toản Lê Đức,"Ốp lưng hơi trơn, lâu lâu có bị trễ thông báo",5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Toản Lê Đức,"Ốp lưng hơi trơn, lâu lâu có bị trễ thông báo",5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Phan xuân hoài,,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Phan xuân hoài,,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Phan xuân hoài,,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Tâm Bất Biến,Tốt,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Tâm Bất Biến,Tốt,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Tâm Bất Biến,Tốt,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Lê Tiến Đạt,Không,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Lê Tiến Đạt,Không,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Độc Cô Phong,"Đội ngũ nhân viên tuyệt vơi, nhiệt tình",5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Độc Cô Phong,"Đội ngũ nhân viên tuyệt vơi, nhiệt tình",5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Nguyen Tan sang,Tốt,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,THANH PHONG,,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Lại Đức Quang,"máy đẹp, mới dùng khá mượt còn lâu dài chưa biết thế nào.",5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
tecno-camon-30,Nguyễn Trần Trọng Tấn,Rất hài lòng,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Nguyễn Trần Trọng Tấn,Rất hài lòng,5,Đánh giá đã đăng vào 1 năm trước,
tecno-camon-30,Trí Ân,Mới mua hôm 9/6 quá ổn,5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
tecno-camon-30,Nguyễn Tuấn Anh,Quá tuyệt vời với tầm giá,5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-30s,Boynhangheo AG,Bên mình có bán góp và làm hồ sơ online kg shop,5,Đánh giá đã đăng vào 1 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-30s,Xa Lu,Em đặt mua con này từ 8h mà đến giờ vẫn báo chờ xát nhận là sao ạ,5,Đánh giá đã đăng vào 6 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-30s,Viet,Good,5,Đánh giá đã đăng vào 10 tháng trước,
dien-thoai-tecno-camon-30s,Chị Hải,Ai cần mua lại máy xài rồi còn tốt lắm ạ. Thì alo mình *****190,5,Đánh giá đã đăng vào 10 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-30s,Chị Hải,Mình cần bán lại techno camon 30s 2tr5,5,Đánh giá đã đăng vào 10 tháng trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-30s,Choongha,", dùnglauhoinóngmáy",4,Đánh giá đã đăng vào 11 tháng trước,
dien-thoai-tecno-camon-30s,Ân Nguyễn,Rất hài lòng với sản phẩm và dịch vụ chăm sóc khách hàng,5,Đánh giá đã đăng vào 1 năm trước,
dien-thoai-tecno-camon-30s,Nguyễn Văn Danh,"quá ngon trong tầm giá, os làm ngon tí là 10/10",5,Đánh giá đã đăng vào 1 năm trước,"Hiệu năng Siêu mạnh mẽ|Thời lượng pin Cực khủng|Chất lượng camera Chụp đẹp, chuyên nghiệp"
dien-thoai-tecno-camon-30s,Trình Ngọc Chung,,5,Đánh giá đã đăng vào 1 năm trước,
